"Keyword","Trends","Impressions"
"مفتاح qr كود","[31,64,45,53,148,386,514,365,393,498]","2497"
"jak odczytać kod qr","[35,117,72,84,318,551,423,505,505,499]","3109"
"menggunakan kode qr","[38,103,58,95,416,690,665,659,558,705]","3987"
"qr online","[188,177,165,153,236,179,204,134,137,164,170,153,193,175,159,156,139,180,136,126,142,116,162,167,187]","4098"
"venmo qr code payment","[61,181,88,35,61,48,88,285,533,652,742,665,786]","4225"
"qr generador","[171,191,197,95,168,241,171,162,168,149,176,198,160,180,179,127,173,171,189,160,182,193,236,233,278]","4548"
"leer qr","[150,165,193,140,181,201,209,168,178,174,197,219,231,251,225,209,240,174,187,159,195,180,165,216,198]","4805"
"create qr","[183,181,228,202,220,264,265,192,269,225,218,176,175,218,220,177,168,194,204,161,208,180,201,207,213]","5149"
"lector qr online","[210,189,211,175,200,198,201,155,188,189,190,229,204,221,268,212,217,292,232,233,235,198,215,208,245]","5315"
"generate qr","[256,183,208,208,250,224,280,247,242,259,230,191,221,219,217,241,238,205,200,231,226,252,245,238,228]","5739"
"come leggere un codice qr","[81,217,182,283,789,1065,983,627,672,917]","5816"
"qr lector","[260,222,241,152,249,215,268,191,236,219,243,246,247,202,267,259,196,216,237,239,284,200,247,278,278]","5892"
"qr tracking","[110,79,138,192,187,210,218,209,222,231,253,196,265,253,277,265,294,249,262,296,322,326,334,376,358]","6122"
"generar qr gratis","[214,215,271,122,199,255,259,213,264,255,262,246,244,284,247,282,215,263,228,221,274,297,227,327,420]","6304"
"código qr gratis","[290,264,280,156,253,267,316,211,297,253,283,269,286,340,276,240,213,261,226,235,223,224,236,220,234]","6353"
"qr code meaning","[199,242,215,203,191,242,272,243,316,271,276,239,271,245,229,212,227,255,279,249,267,277,266,359,328]","6373"
"crear código qr","[359,286,357,180,232,285,297,252,334,275,274,300,323,297,246,225,181,235,221,219,224,217,285,209,260]","6573"
"cómo identificar un código qr","[34,279,521,425,516,301,123,832,682,731,691,634,224,50,68,87,480,290]","6968"
"escanear codigo qr","[266,305,286,226,286,305,272,236,281,316,310,316,316,280,298,326,348,295,275,238,225,193,265,252,268]","6984"
"qr code scannen","[351,483,324,247,217,245,319,272,273,264,269,233,297,303,290,273,326,283,284,234,217,239,241,270,295]","7049"
"comment lire un code qr","[132,317,252,220,748,1114,956,1039,1099,1276]","7153"
"crea códigos qr","[388,369,372,220,312,365,352,256,331,341,347,341,352,314,298,259,258,271,265,256,271,265,288,268,313]","7672"
"qr код","[125,126,113,136,189,218,544,397,275,230,138,125,119,171,942,853,812,722,554,273,99,102,96,152,210]","7721"
"qr code 掃描","[513,460,543,293,294,370,328,306,270,275,277,299,264,273,268,286,283,324,321,272,301,336,338,379,360]","8233"
